feature,gain
karta_min,1833.1353559494019
naqd_kirim_mean,1351.6788063049316
kirim_min,1297.2649059295654
bank_otkazmasi_chiqim_mean,1238.4762663841248
bank_otkazmasi_std,947.0271224975586
naqd_kirim_max,808.9056191444397
amt_min,600.9991493225098
bank_otkazmasi_bin3_frac,515.9476685523987
bank_otkazmasi_mean,511.2962918281555
bank_otkazmasi_min,511.03911209106445
bank_otkazmasi_bin7_frac,497.5057692527771
bank_otkazmasi_chiqim_bin2_frac,487.6292014122009
karta_chiqim_bin3_frac,477.27130937576294
bank_otkazmasi_chiqim_bin3_frac,472.2804594039917
share_gt_p99,468.7043709754944
karta_chiqim_max,466.05326557159424
naqd_med,447.97247791290283
karta_chiqim_mean,447.84660720825195
bank_otkazmasi_chiqim_max,434.9259877204895
karta_chiqim_amtx_sum,381.41158056259155
bank_otkazmasi_chiqim_bin1_frac,353.6072611808777
bank_otkazmasi_bin6_frac,328.70695781707764
naqd_kirim_bin7_n,318.32518005371094
b_amt_min,303.3690433502197
amt_skew,288.08284854888916
karta_max,282.4881110191345
naqd_min,280.3257780075073
b_in_share,279.658269405365
naqd_kirim_bin7_frac,272.3844585418701
bank_otkazmasi_kirim_bin7_frac,268.78520345687866
xalqaro_chiqim_max,267.65095806121826
br_karta_share_diff,266.68450117111206
bank_otkazmasi_kirim_amtx_sum,265.3144383430481
karta_chiqim_bin1_frac,265.13819122314453
karta_bin7_frac,256.44569969177246
b_karta_chiqim_mean,253.7115912437439
bank_otkazmasi_chiqim_bin2_n,243.23909187316895
naqd_kirim_amtx_sum,242.84141778945923
bank_otkazmasi_med,226.30999946594238
w90_naqd_frac,226.11048793792725
bank_otkazmasi_kirim_mean,223.66503953933716
karta_chiqim_bin2_frac,215.28722047805786
w90_naqd_n,215.00607585906982
bank_otkazmasi_max,206.44168949127197
bank_otkazmasi_chiqim_bin3_n,198.62812185287476
karta_bin3_frac,196.853168964386
naqd_sum,191.50646209716797
br_in_share_diff,191.02274084091187
bank_otkazmasi_amtx_sum,187.01310968399048
karta_bin2_frac,186.62446975708008
br_bank_otkazmasi_share_diff,186.52331924438477
last15_amt,184.2423496246338
last0_amt,180.7083101272583
last5_amt,179.49015951156616
bank_otkazmasi_chiqim_bin7_frac,178.56008911132812
last16_amt,174.0823998451233
br_karta_mean_diff,171.18740892410278
b_naqd_kirim_mean,169.32640981674194
karta_std,168.82102060317993
bank_otkazmasi_chiqim_bin0_n,165.42154026031494
bank_otkazmasi_chiqim_bin6_frac,163.9901795387268
amt_max,161.5476794242859
naqd_mean,161.0722680091858
chiqim_min,158.34972953796387
last8_amt,154.4682593345642
karta_chiqim_bin2_n,153.64519023895264
karta_bin7_n,153.43787097930908
bank_otkazmasi_chiqim_bin5_frac,152.85696983337402
karta_chiqim_bin7_n,151.40213775634766
bank_otkazmasi_bin4_frac,145.6606001853943
b_karta_max,143.55191087722778
w3_amt_mean,141.0631799697876
karta_chiqim_bin4_frac,139.54757070541382
bank_otkazmasi_chiqim_bin7_n,136.1861801147461
bank_otkazmasi_bin5_n,136.02788925170898
karta_chiqim_bin7_frac,131.73915100097656
b_bank_otkazmasi_kirim_mean,131.70742082595825
accel_7_14,127.22652101516724
bank_otkazmasi_chiqim_bin1_n,123.46558094024658
karta_amtx_sum,122.56596088409424
bank_otkazmasi_bin5_frac,121.7820897102356
naqd_max,121.64770793914795
bank_otkazmasi_bin0_n,120.95880126953125
last7_amt,119.05105876922607
karta_bin5_frac,118.71366024017334
w60_naqd_frac,118.60483074188232
naqd_bin7_n,117.97259044647217
last4_amt,117.71033096313477
b_net_flow,117.00068044662476
b_bank_otkazmasi_chiqim_mean,116.37174797058105
w1_amt_max,116.16465950012207
last7_age,113.67506885528564
karta_kirim_mean,113.36715984344482
chiqim_amtx_max,113.19023132324219
b_bank_otkazmasi_max,112.01669788360596
w90_out_amtx_sum,111.93833065032959
naqd_chiqim_amtx_sum,111.7326717376709
amt_max_minus_med,111.51042938232422
karta_chiqim_bin5_frac,111.41045999526978
amtx_mean,110.6299695968628
naqd_kirim_bin1_frac,108.64560985565186
last11_amt,108.43692922592163
naqd_bin7_frac,107.9709005355835
naqd_kirim_bin0_frac,104.98280048370361
naqd_bin1_frac,103.4984302520752
cash_intl_share,102.477858543396
last17_amt,101.49064016342163
br_naqd_share_diff,101.28099918365479
xalqaro_last_age,98.2555603981018
naqd_kirim_bin6_frac,96.81099033355713
last14_type,96.61781120300293
bank_otkazmasi_kirim_bin0_frac,96.19902992248535
accel_60_90,95.87072086334229
w7_vs_prev_n,94.59201192855835
w30_vs_prev_amtx,91.94748020172119
kirim_med,91.0921401977539
accel_1_3,91.02742958068848
last6_amt,91.01931047439575
karta_bin1_frac,90.40848112106323
chiqim_max,90.24144172668457
bank_otkazmasi_bin7_n,90.02531051635742
br_amt_max_diff,88.81277990341187
b_bank_otkazmasi_mean,88.06082105636597
bank_otkazmasi_kirim_bin3_frac,87.77263069152832
amt_kurt,87.12523031234741
xalqaro_med,86.67941999435425
bank_otkazmasi_chiqim_bin0_frac,86.46899032592773
bank_otkazmasi_sum,86.04100036621094
naqd_amtx_sum,86.00201034545898
w90_out_frac,85.21580076217651
bank_otkazmasi_chiqim_amtx_sum,84.03110027313232
naqd_kirim_bin4_frac,83.18054008483887
karta_kirim_max,83.15583992004395
naqd_chiqim_bin1_frac,82.81796884536743
w7_amt_mean,80.94360971450806
w3_amtx_sum,79.4135389328003
naqd_share,79.22554969787598
last3_amt,79.2185697555542
naqd_bin5_frac,78.98181056976318
w7_net_flow,78.84540939331055
amt_std,78.54232978820801
xalqaro_chiqim_mean,76.16761112213135
karta_kirim_bin7_frac,74.39899778366089
w7_share_n,73.40720987319946
last8_age,71.95904064178467
naqd_bin0_frac,71.79334831237793
br_amt_mean_diff,71.18756055831909
last18_amt,68.90067052841187
w90_in_share,68.5218596458435
naqd_std,67.49556970596313
naqd_chiqim_max,66.9549708366394
naqd_chiqim_bin5_frac,66.84324073791504
w90_xalqaro_frac,66.80486011505127
naqd_kirim_bin5_n,66.72972059249878
w90_vs_prev_amtx,66.56978940963745
w7_amt_max,66.41820049285889
br_naqd_mean_diff,66.2476897239685
bank_otkazmasi_kirim_bin6_frac,66.08709049224854
karta_mean,65.30697965621948
bank_otkazmasi_kirim_bin4_frac,64.1154408454895
w14_amt_mean,64.0924301147461
naqd_chiqim_bin2_frac,64.0916199684143
w30_n,64.03502988815308
w1_amt_mean,63.95199918746948
last5_age,63.505919456481934
w14_rate_vs_hist,63.39052057266235
w30_prev_n,61.71723031997681
xalqaro_std,61.0064697265625
naqd_kirim_bin6_n,60.94193077087402
b_karta_kirim_mean,60.76401996612549
last1_amt,60.05243968963623
karta_chiqim_n,59.9933385848999
w90_amt_max,59.54397964477539
last9_age,59.07860088348389
w14_prev_amtx_sum,58.0042405128479
bank_otkazmasi_kirim_bin2_frac,57.69503116607666
last2_amt,55.23001003265381
xalqaro_min,54.61947011947632
w3_amtx_rate_vs_hist,54.33518981933594
br_n_vs_daily_rate,53.3685302734375
type_entropy,51.99186992645264
b_naqd_mean,51.832499504089355
bank_otkazmasi_bin0_frac,50.29368019104004
b_naqd_max,49.71028995513916
w60_amt_max,48.095470905303955
b_karta_kirim_n,47.845619678497314
w30_out_frac,47.156060218811035
n_gt_p99,45.601399421691895
xalqaro_kirim_mean,45.24554967880249
karta_bin6_frac,45.21004009246826
share_lt_p10,45.14196968078613
bank_otkazmasi_bin2_frac,44.93137073516846
last14_amt,44.77205038070679
amt_q10,44.325300216674805
last14_age,43.78799057006836
w7_rate_vs_hist,43.16525936126709
w30_amt_mean,43.08247089385986
karta_kirim_bin6_frac,42.951030254364014
last19_amt,42.8531699180603
b_amt_mean,42.50802993774414
w30_net_flow,42.38417053222656
w30_rate_vs_hist,42.062020778656006
kirim_amtx_sum,41.88879919052124
w14_vs_prev_amtx,41.8577995300293
w30_amtx_sum,41.84712028503418
bank_otkazmasi_kirim_bin5_n,41.417229652404785
naqd_chiqim_mean,41.193350315093994
w14_amtx_rate_vs_hist,41.16204071044922
w90_amt_mean,41.049400329589844
naqd_bin6_n,40.57946014404297
karta_kirim_bin0_n,40.552409172058105
w60_rate_vs_hist,40.20462989807129
bank_otkazmasi_kirim_bin7_n,39.686500549316406
w30_amt_max,38.9726505279541
w14_amtx_sum,38.9271297454834
last5_type,38.75025987625122
amt_q25,38.19737958908081
karta_kirim_bin2_frac,38.128170013427734
bank_otkazmasi_bin1_frac,37.77791976928711
xalqaro_share,37.656620502471924
b_xalqaro_max,37.587299823760986
kirim_mean,36.877718925476074
last6_age,36.77748966217041
bank_otkazmasi_share,36.46232986450195
kirim_amtx_max,36.17010974884033
max_in_minus_max_out,35.86748027801514
karta_kirim_bin5_frac,35.571969985961914
bank_otkazmasi_chiqim_bin4_frac,34.63252067565918
naqd_kirim_bin3_frac,33.99014949798584
w3_in_share,33.709500312805176
w30_vs_prev_n,33.521400451660156
in_out_amtx_ratio,33.16841983795166
naqd_bin3_frac,32.943050384521484
bank_otkazmasi_bin4_n,32.81903028488159
bank_otkazmasi_kirim_n,32.428489685058594
out_in_amtx_ratio,32.39451026916504
last20_amt_mean,32.32946062088013
w1_net_flow,31.858389854431152
karta_kirim_bin1_frac,31.752099990844727
karta_bin0_n,31.650071144104004
accel_3_7,31.21863031387329
w30_out_amtx_sum,31.13156032562256
xalqaro_max,30.50589942932129
kirim_sum,29.867630004882812
xalqaro_kirim_max,29.631810188293457
w14_karta_n,29.45678997039795
br_amt_mean_z,29.385939598083496
bank_otkazmasi_kirim_bin1_frac,29.36340045928955
w3_amt_max,29.27989959716797
naqd_bin0_n,29.275059700012207
chiqim_mean,29.178229331970215
naqd_kirim_bin5_frac,29.14484977722168
w3_rate_vs_hist,28.539690017700195
bank_otkazmasi_kirim_bin3_n,28.264339923858643
chiqim_std,27.625629901885986
active_days,27.57706069946289
bank_otkazmasi_last_age,27.506629943847656
karta_sum,27.128550052642822
naqd_chiqim_n,27.045069694519043
amt_q75,27.037859439849854
w14_share_n,27.033400535583496
w7_amtx_rate_vs_hist,26.937249660491943
karta_bin4_frac,26.584400177001953
w3_out_frac,26.39780044555664
w7_out_amtx_sum,26.356860160827637
naqd_bin6_frac,26.329610347747803
net_flow,25.550729751586914
bank_otkazmasi_kirim_bin6_n,25.549009323120117
tx_per_active_day,25.515560150146484
last9_amt,25.434800624847412
last10_amt,25.406919479370117
active_day_ratio,25.17259979248047
last12_amt,25.11469030380249
chiqim_med,25.09805965423584
br_n_vs_hist_n,25.03588056564331
bank_otkazmasi_chiqim_bin6_n,23.915989875793457
w7_karta_n,23.467100143432617
w14_out_amtx_sum,23.46638011932373
amt_q90,23.276269912719727
karta_days,23.14389991760254
w7_vs_prev_amtx,22.9276704788208
last19_age,22.53834056854248
last15_type,22.42892074584961
karta_kirim_bin7_n,22.099799156188965
w30_out_n,22.07464027404785
w90_prev_n,21.838210582733154
w90_amtx_rate_vs_hist,21.547800064086914
w60_prev_n,21.478759765625
w3_vs_prev_n,21.469250202178955
b_amt_med,21.453299522399902
b_amt_std,21.412059783935547
karta_med,21.353639602661133
naqd_kirim_bin1_n,21.264220237731934
amt_q95,21.19040012359619
last13_age,21.09190082550049
last9_type,21.089680194854736
bank_otkazmasi_kirim_bin0_n,21.07585048675537
br_bank_otkazmasi_mean_diff,20.87934970855713
w30_share_n,20.8299503326416
share_gt_p90,20.754340171813965
b_karta_mean,20.74139976501465
karta_share,20.656689643859863
w3_vs_prev_amtx,20.495060920715332
naqd_bin4_frac,19.956990242004395
last4_age,19.94419002532959
last10_age,19.92391014099121
amt_q99,19.8966703414917
w90_vs_prev_n,19.859359741210938
karta_kirim_bin3_frac,19.794699668884277
bank_otkazmasi_kirim_bin5_frac,19.715720176696777
w14_vs_prev_n,19.556300163269043
bank_otkazmasi_bin6_n,19.44540023803711
naqd_kirim_bin0_n,19.383370399475098
xalqaro_bin4_frac,19.331549644470215
karta_bin0_frac,19.2327299118042
w60_bank_otkazmasi_n,19.195720672607422
br_xalqaro_share_diff,18.994179725646973
w60_in_share,18.972180366516113
kirim_std,18.680930137634277
net_flow_norm,18.6648006439209
w90_n,18.57013988494873
b_karta_n,18.315839767456055
karta_bin3_n,18.280299186706543
last18_age,18.252439975738525
karta_chiqim_bin6_frac,18.13719081878662
w90_out_n,18.132280349731445
w60_share_n,18.063739776611328
b_amtx_sum,17.86199951171875
chiqim_n,17.823019981384277
span_days,17.811500549316406
chiqim_sum,17.806299209594727
naqd_kirim_n,17.711230278015137
w3_prev_amtx_sum,17.478690147399902
naqd_chiqim_bin0_frac,16.853440284729004
accel_30_60,16.834710121154785
w30_naqd_n,16.81259059906006
last_age,16.757180213928223
naqd_chiqim_bin6_frac,16.721800327301025
w60_prev_amtx_sum,16.688210487365723
xalqaro_mean,16.520659923553467
b_naqd_chiqim_mean,16.430910110473633
w1_rate_vs_hist,16.27625036239624
first_age,16.117769718170166
kirim_n,16.086299896240234
last16_in,15.904899597167969
karta_bin1_n,15.88587999343872
w7_prev_amtx_sum,15.875800132751465
naqd_chiqim_bin7_n,15.85595989227295
bank_otkazmasi_bin1_n,15.319000244140625
b_bank_otkazmasi_kirim_n,15.289199829101562
w7_in_share,14.533699989318848
karta_chiqim_bin5_n,13.847390174865723
b_n,13.697400093078613
w90_rate_vs_hist,13.58236026763916
karta_last_age,13.358020305633545
naqd_bin2_n,12.972900390625
naqd_chiqim_bin0_n,12.916099548339844
w30_active_days,12.880800247192383
w30_prev_amtx_sum,12.743200302124023
karta_kirim_bin3_n,12.704099655151367
bank_otkazmasi_bin2_n,12.60159969329834
w90_karta_n,12.600899696350098
last18_in,12.273379802703857
karta_chiqim_bin0_n,12.165599822998047
last15_age,12.158699989318848
last5_in,12.139100074768066
bank_otkazmasi_n,12.137399673461914
w3_prev_n,12.100500106811523
w60_net_flow,12.026200294494629
w90_active_days,11.959799766540527
naqd_bin1_n,11.864100456237793
last12_in,11.442999839782715
w7_prev_n,11.343799591064453
w60_active_days,11.094499588012695
last6_type,10.821800231933594
w30_amtx_rate_vs_hist,10.739800453186035
bank_otkazmasi_kirim_max,10.738200187683105
naqd_days,10.72760009765625
w60_xalqaro_frac,10.677300453186035
b_xalqaro_mean,10.670000076293945
w90_amtx_sum,10.566499710083008
w60_amtx_sum,10.563199996948242
naqd_bin4_n,10.433500289916992
last2_type,10.293700218200684
last1_age,10.278300285339355
last17_age,10.192299842834473
w7_n,10.184499740600586
w1_in_share,10.128499984741211
xalqaro_kirim_bin4_frac,10.055500030517578
bank_otkazmasi_kirim_bin1_n,10.030799865722656
bank_otkazmasi_kirim_bin2_n,9.985199928283691
last12_type,9.96090030670166
w60_naqd_n,9.957830429077148
w60_out_amtx_sum,9.857029914855957
amtx_sum,9.846260070800781
last20_amt_max,9.765970230102539
xalqaro_bin0_frac,9.709480285644531
karta_chiqim_bin0_frac,9.685219764709473
karta_chiqim_bin1_n,9.676409721374512
naqd_kirim_bin2_n,9.561880111694336
in_out_n_ratio,9.535019874572754
last16_age,9.496060371398926
bank_otkazmasi_chiqim_bin4_n,9.430749893188477
last12_age,9.401479721069336
naqd_kirim_bin4_n,9.386429786682129
n_tx,9.320690155029297
last0_in,9.284890174865723
xalqaro_chiqim_amtx_sum,9.214409828186035
b_karta_chiqim_n,9.172969818115234
last0_age,9.171950340270996
last13_in,9.139490127563477
w30_bank_otkazmasi_n,9.096619606018066
w7_out_frac,9.065139770507812
naqd_chiqim_bin5_n,9.014080047607422
in_share,9.008620262145996
w1_prev_amtx_sum,8.998800277709961
accel_14_30,8.98898983001709
w1_amtx_sum,8.93832015991211
xalqaro_kirim_bin6_frac,8.821769714355469
w1_vs_prev_amtx,8.657309532165527
karta_kirim_bin1_n,8.630189895629883
naqd_last_age,8.627690315246582
w3_share_n,8.621410369873047
naqd_kirim_bin2_frac,8.559109687805176
last10_type,8.475589752197266
naqd_chiqim_bin1_n,8.442480087280273
naqd_chiqim_bin7_frac,8.314780235290527
karta_n,8.269800186157227
bank_otkazmasi_chiqim_n,8.264399528503418
amt_mean,8.180459976196289
w60_vs_prev_amtx,8.179120063781738
w1_vs_prev_n,8.157859802246094
last20_in_share,8.06879997253418
bank_otkazmasi_days,8.033820152282715
w14_naqd_frac,8.031570434570312
karta_chiqim_bin6_n,7.937970161437988
w90_net_flow,7.881130218505859
xalqaro_kirim_amtx_sum,7.855959892272949
last8_type,7.797510147094727
naqd_kirim_bin3_n,7.786029815673828
w30_in_share,7.716360092163086
w7_bank_otkazmasi_n,7.702199935913086
w60_vs_prev_n,7.680210113525391
xalqaro_sum,7.613609790802002
w60_n,7.559969902038574
w14_bank_otkazmasi_n,7.491620063781738
w1_amtx_rate_vs_hist,7.453199863433838
last8_in,7.355480194091797
xalqaro_chiqim_bin5_frac,7.323629856109619
naqd_chiqim_bin4_frac,7.31928014755249
w14_net_flow,7.193089962005615
karta_chiqim_bin4_n,7.1500701904296875
karta_kirim_bin4_n,6.970180034637451
w14_amt_max,6.967659950256348
w60_amtx_rate_vs_hist,6.839210033416748
w90_share_n,6.837639808654785
b_amt_max,6.787479877471924
w3_out_amtx_sum,6.756800174713135
last19_type,6.59207010269165
w3_karta_n,6.587850093841553
last11_in,6.585750102996826
w30_naqd_frac,5.986400127410889
w1_share_n,5.647600173950195
karta_bin4_n,0.0
last20_span_days,0.0
karta_kirim_bin2_n,0.0
last17_type,0.0
last16_type,0.0
last13_type,0.0
last11_type,0.0
karta_bin2_n,0.0
last7_type,0.0
w30_karta_n,0.0
w30_xalqaro_n,0.0
last20_cash_intl_share,0.0
b_xalqaro_chiqim_mean,0.0
b_xalqaro_chiqim_n,0.0
b_xalqaro_kirim_mean,0.0
chiqim_amtx_sum,0.0
amt_q50,0.0
karta_kirim_bin5_n,0.0
karta_chiqim_bin3_n,0.0
w14_prev_n,0.0
w14_n,0.0
karta_kirim_bin6_n,0.0
karta_bin6_n,0.0
karta_bin5_n,0.0
w14_active_days,0.0
w14_out_n,0.0
w14_in_share,0.0
w14_xalqaro_n,0.0
w14_naqd_n,0.0
bank_otkazmasi_bin3_n,0.0
bank_otkazmasi_kirim_bin4_n,0.0
b_bank_otkazmasi_n,0.0
w7_xalqaro_frac,0.0
w7_naqd_frac,0.0
b_xalqaro_kirim_n,0.0
xalqaro_chiqim_bin4_n,0.0
xalqaro_kirim_bin4_n,0.0
xalqaro_bin4_n,0.0
xalqaro_chiqim_bin3_n,0.0
xalqaro_kirim_bin3_n,0.0
xalqaro_bin3_n,0.0
xalqaro_chiqim_bin2_n,0.0
xalqaro_kirim_bin2_n,0.0
xalqaro_bin2_n,0.0
xalqaro_chiqim_bin1_n,0.0
xalqaro_kirim_bin1_n,0.0
xalqaro_bin1_n,0.0
xalqaro_chiqim_bin0_n,0.0
xalqaro_kirim_bin0_n,0.0
xalqaro_bin0_n,0.0
naqd_chiqim_bin6_n,0.0
naqd_bin5_n,0.0
naqd_chiqim_bin4_n,0.0
naqd_bin3_n,0.0
naqd_chiqim_bin3_n,0.0
naqd_chiqim_bin2_n,0.0
last3_type,0.0
last4_type,0.0
bank_otkazmasi_chiqim_bin5_n,0.0
last19_in,0.0
last0_type,0.0
last17_in,0.0
last1_type,0.0
last10_in,0.0
last9_in,0.0
last14_in,0.0
last15_in,0.0
last18_type,0.0
w3_out_n,0.0
w3_n,0.0
w3_net_flow,0.0
w1_naqd_n,0.0
karta_kirim_bin4_frac,0.0
karta_kirim_bin0_frac,0.0
w1_xalqaro_n,0.0
w7_naqd_n,0.0
w7_active_days,0.0
w7_out_n,0.0
w7_amtx_sum,0.0
w3_naqd_n,0.0
type_nunique,0.0
w3_active_days,0.0
w7_xalqaro_n,0.0
last4_in,0.0
last3_in,0.0
last7_in,0.0
last6_in,0.0
xalqaro_kirim_bin6_n,0.0
xalqaro_chiqim_bin6_n,0.0
xalqaro_bin5_n,0.0
xalqaro_kirim_bin5_n,0.0
xalqaro_kirim_bin7_n,0.0
xalqaro_bin7_n,0.0
w3_xalqaro_n,0.0
