number,value,datetime_start,datetime_complete,duration,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_rounds,state
0,0.5964118880548376,2026-09-24 22:06:34.317555,2026-09-24 22:07:18.393153,0 days 00:00:44.075598,0.40919616423534183,0.04653207671935936,0.006358358856676255,0.009781801964118503,7,29.10635913133069,2.9154431891537547,0.14936568554617632,4.8,0.7993292420985183,220.0,COMPLETE
1,0.6240007566527619,2026-09-24 22:07:18.393153,2026-09-24 22:07:36.357603,0 days 00:00:17.964450,0.6673295021425665,0.0706088696112545,0.006847920095574782,0.022219602542548865,3,2.310201887845293,0.014618962793704957,1.976218934028007,4.8,0.5917022549267169,350.0,COMPLETE
2,0.6160773471252126,2026-09-24 22:07:36.357603,2026-09-24 22:09:16.411848,0 days 00:01:40.054245,0.3325152889039984,0.15884086920668206,0.00015673095467235422,0.011320391141177713,6,2.5081156860452323,0.004809461967501573,6.647135865318027,2.0,0.7571172192068059,224.0,COMPLETE
3,0.6410325979278113,2026-09-24 22:09:16.411848,2026-09-24 22:11:52.770334,0 days 00:02:36.358486,0.6466238370778892,0.04228959435391995,0.0005975027999960298,0.008629896550328052,2,23.359635026261596,4.337920697490942,0.12681352169084595,1.0,0.7200762468698007,1748.0,COMPLETE
4,0.6324054296111218,2026-09-24 22:11:52.771844,2026-09-24 22:13:19.931650,0 days 00:01:27.159806,0.9263791452993542,0.4217420082579902,0.00018427970406864567,0.013316598070397062,3,86.9299151113955,4.869640941520899,6.218704727769076,4.8,0.8875664116805573,350.0,COMPLETE
5,0.6282453993450112,2026-09-24 22:13:19.931650,2026-09-24 22:15:29.583598,0 days 00:02:09.651948,0.6798872582107739,0.06612729138639734,0.00016736010167825804,0.010032743828330231,3,45.44383960336016,1.6172900811143154,0.2647114182821816,1.0,0.6783766633467947,845.0,COMPLETE
6,0.630794350923717,2026-09-24 22:15:29.584601,2026-09-24 22:16:02.788097,0 days 00:00:33.203496,0.35183125621386324,0.2627223156987825,0.038842777547031436,0.005049717080631209,6,25.92475660475159,0.0029072088906598446,1.1895896737553546,1.0,0.8645035840204937,472.0,COMPLETE
7,0.6266461007728796,2026-09-24 22:16:02.788097,2026-09-24 22:16:25.397402,0 days 00:00:22.609305,0.6305504476133645,0.3640499995746933,0.019158219548093176,0.008728935548596712,3,28.788057183089233,0.7128188058401367,0.22844556850020528,2.0,0.8187787356776066,542.0,COMPLETE
8,0.6262056643169193,2026-09-24 22:16:25.397905,2026-09-24 22:16:57.445294,0 days 00:00:32.047389,0.7454872878846462,0.03277351073267418,0.052807963768953664,0.012756607968099168,4,1.1241862095793058,0.1082138291061399,0.8771380343280561,4.8,0.5539457134966522,720.0,COMPLETE
9,0.6435986369492191,2026-09-24 22:16:57.445950,2026-09-24 22:17:41.081788,0 days 00:00:43.635838,0.8656842656950918,0.41027132950906275,0.025764174425233172,0.007533721870390657,2,3.7975447986784157,3.06085221067225,7.947147424653743,2.0,0.5806106436270022,1370.0,COMPLETE
10,0.6364558528077287,2026-09-24 22:17:41.081788,2026-09-24 22:18:47.724447,0 days 00:01:06.642659,0.9353653566977626,0.1816404591773294,0.0015305170612332094,0.005241595951812712,5,7.243598948404965,0.30827754804317464,69.33047871755103,2.0,0.9661451709558936,651.0,COMPLETE
11,0.6298193088102533,2026-09-24 22:18:47.724447,2026-09-24 22:20:58.654255,0 days 00:02:10.929808,0.8072404722454305,0.0872046005979213,0.001134724229748108,0.006783868238952367,2,9.152852407752354,9.82361537175095,30.15790123257124,1.0,0.6501241697758059,1804.0,COMPLETE
12,0.6428625500811788,2026-09-24 22:20:58.654255,2026-09-24 22:22:10.936269,0 days 00:01:12.282014,0.515713261415557,0.13691637980889831,0.0006959912551847211,0.0073304923274273084,2,6.005285676273533,0.37947060877944977,15.757154910977983,1.0,0.6766980691634803,1608.0,COMPLETE
13,0.6208232633070925,2026-09-24 22:22:10.936269,2026-09-24 22:22:39.290151,0 days 00:00:28.353882,0.5039515213818229,0.2299246346579407,0.010775673693749821,0.006984671823535397,2,4.822334832187469,0.04405362407322617,15.470504932079145,2.0,0.5164987409806399,870.0,COMPLETE
14,0.6369901715826684,2026-09-24 22:22:39.290151,2026-09-24 22:23:14.597291,0 days 00:00:35.307140,0.569464371284118,0.11329930687167526,0.0005323699295682334,0.02014407181437847,4,4.079995136214132,0.3358189331662628,13.67646636349616,1.0,0.6225704368964609,344.0,COMPLETE
15,0.6427567979961253,2026-09-24 22:23:14.597291,2026-09-24 22:24:57.384804,0 days 00:01:42.787513,0.8371413109450141,0.47408258163587724,0.002785923010776107,0.006763424545887149,2,13.676889828758977,0.9894500554772626,85.09431914344957,2.0,0.6805046864448485,1430.0,COMPLETE
16,0.6359713619480761,2026-09-24 22:24:57.384804,2026-09-24 22:25:22.980593,0 days 00:00:25.595789,0.4605413867633854,0.3249059160738689,0.08614337561677926,0.016230370901859092,4,1.0625721497327496,0.10714380281379006,4.443029175764506,2.0,0.504267540874772,251.0,COMPLETE
17,0.6294771117022087,2026-09-24 22:25:22.980593,2026-09-24 22:26:03.427504,0 days 00:00:40.446911,0.5496927787956497,0.12824591629116258,0.024223090388536293,0.028464441472088847,5,2.308171207203405,0.3462691777359461,26.94247919153161,1.0,0.5847139001411289,228.0,COMPLETE
18,0.6415799698594007,2026-09-24 22:26:03.428008,2026-09-24 22:27:05.325606,0 days 00:01:01.897598,0.9749958175549949,0.23878853817072243,0.0005018985950696091,0.0075660852049620995,2,5.146244286257975,0.020915606352651574,13.491798144395979,1.0,0.7219268074477946,1080.0,COMPLETE
19,0.6417590562998066,2026-09-24 22:27:05.325606,2026-09-24 22:28:03.400960,0 days 00:00:58.075354,0.8624282940453756,0.1681386993948638,0.002773519801918103,0.005826566881548559,3,12.668026771144435,0.0011129709953152695,2.057415171650492,2.0,0.6253080437868973,964.0,COMPLETE
20,0.6404720831887715,2026-09-24 22:28:03.402473,2026-09-24 22:28:54.432320,0 days 00:00:51.029847,0.7696063908222897,0.1018841746013051,0.0012722360561161206,0.008216452614740894,2,3.278731981207331,1.9373646850236117,32.40831603695632,1.0,0.5678209887925194,1443.0,COMPLETE
21,0.633573991943979,2026-09-24 22:28:54.432320,2026-09-24 22:29:29.658630,0 days 00:00:35.226310,0.8766842931627072,0.4733020552409539,0.0035007459764521596,0.0063082519106689335,2,14.292699945455196,0.9285827168873444,81.49658576652688,2.0,0.6809298319734398,1283.0,COMPLETE
22,0.6418717114965496,2026-09-24 22:29:29.659637,2026-09-24 22:30:11.194420,0 days 00:00:41.534783,0.8376976927809617,0.30531233498338617,0.0029191609002475194,0.0059984710133516505,3,6.656531132710146,0.6956342083250389,80.72944063363465,2.0,0.6736701896523487,1297.0,COMPLETE
23,0.6440795597069853,2026-09-24 22:30:11.194420,2026-09-24 22:30:53.096985,0 days 00:00:41.902565,0.7354343393891702,0.4883298159544897,0.0003374907749125169,0.007446862343713615,2,16.24605655297528,0.18900113740573377,50.91512278480694,2.0,0.7540413767655317,1509.0,COMPLETE
24,0.6422368771398526,2026-09-24 22:30:53.097531,2026-09-24 22:32:05.130622,0 days 00:01:12.033091,0.7204436044146793,0.391813760832258,0.00025100631313382303,0.007767483775097316,2,7.975730001042811,0.18844104418880583,8.90959680269284,2.0,0.7641462582498862,1129.0,COMPLETE
25,0.6441380837499854,2026-09-24 22:32:05.130622,2026-09-24 22:32:57.646624,0 days 00:00:52.516002,0.5884444955418972,0.20521815765184526,0.00031223286214431255,0.010194297280364771,3,1.5870332333353563,0.04782806005793522,41.37211166267104,2.0,0.7252526973603086,727.0,COMPLETE
26,0.6411535727189027,2026-09-24 22:32:57.646624,2026-09-24 22:33:46.699553,0 days 00:00:49.052929,0.5965822866685492,0.20613109982775357,0.00026027555628188424,0.010780721181511039,3,1.5770553026313494,0.031105641204112803,46.9730568849985,2.0,0.8112271899455037,569.0,COMPLETE
27,0.6330459128648004,2026-09-24 22:33:46.699553,2026-09-24 22:34:08.264502,0 days 00:00:21.564949,0.7133676804670773,0.28685297232987594,0.00010741014847253092,0.009384251372202104,4,1.4422851584410503,0.06559741713759619,42.33923383033818,2.0,0.865300137228951,367.0,COMPLETE
28,0.6279761062684737,2026-09-24 22:34:08.264502,2026-09-24 22:34:28.555260,0 days 00:00:20.290758,0.7747532022807108,0.34269587368032706,0.00036552048982655284,0.014706784026611307,3,3.4519527822693736,0.00742823338242703,24.216450527085637,2.0,0.9358593608594791,346.0,COMPLETE
