signal_id,ehtimollik
SG_000001,0.32744543
SG_000007,0.80519913
SG_000009,0.08915181
SG_000010,0.20396601
SG_000011,0.58040327
SG_000018,0.61389768
SG_000024,0.71921346
SG_000026,0.58256957
SG_000032,0.55507415
SG_000033,0.80586569
SG_000034,0.21696384
SG_000036,0.67272121
SG_000039,0.10731545
SG_000048,0.25695717
SG_000049,0.57223796
SG_000050,0.90334944
SG_000053,0.18596901
SG_000054,0.54724213
SG_000055,0.47092151
SG_000058,0.48991835
SG_000059,0.22712881
SG_000061,0.36693884
SG_000062,0.74220963
SG_000072,0.18830195
SG_000073,0.43809365
SG_000075,0.41676387
SG_000080,0.74854191
SG_000081,0.43159473
SG_000083,0.06298950
SG_000086,0.16830528
SG_000087,0.58606899
SG_000092,0.70738210
SG_000099,0.47075487
SG_000100,0.43942676
SG_000105,0.36243959
SG_000106,0.62972838
SG_000107,0.00283286
SG_000118,0.61823029
SG_000120,0.45125812
SG_000125,0.71838027
SG_000129,0.12647892
SG_000137,0.25162473
SG_000146,0.33861023
SG_000147,0.93701050
SG_000149,0.75920680
SG_000153,0.63406099
SG_000161,0.16880520
SG_000163,0.22562906
SG_000165,0.73254458
SG_000173,0.15964006
SG_000178,0.41126479
SG_000179,0.07132145
SG_000187,0.99966672
SG_000192,0.08331945
SG_000193,0.76987169
SG_000195,0.46292285
SG_000196,0.49591735
SG_000201,0.27245459
SG_000203,0.36410598
SG_000205,0.98400267
SG_000207,0.76437260
SG_000211,0.60523246
SG_000214,0.31578070
SG_000217,0.03966006
SG_000218,0.97117147
SG_000219,0.68721880
SG_000227,0.40276621
SG_000229,0.08348609
SG_000232,0.53641060
SG_000240,0.02982836
SG_000242,0.94001000
SG_000244,0.25662390
SG_000246,0.49375104
SG_000250,0.06748875
SG_000253,0.69105149
SG_000262,0.51441426
SG_000269,0.92467922
SG_000270,0.44359273
SG_000271,0.90618230
SG_000284,0.84802533
SG_000286,0.60223296
SG_000287,0.32594568
SG_000290,0.81419763
SG_000291,0.75604066
SG_000301,0.24912515
SG_000302,0.67038827
SG_000304,0.02699550
SG_000306,0.49258457
SG_000309,0.16380603
SG_000314,0.48541910
SG_000319,0.90568239
SG_000320,0.43626062
SG_000321,0.30711548
SG_000325,0.88668555
SG_000328,0.06248959
SG_000329,0.25445759
SG_000333,0.23796034
SG_000334,0.62039660
SG_000335,0.60323279
SG_000339,0.05349108
SG_000341,0.06565572
SG_000345,0.94250958
SG_000347,0.33227795
SG_000349,0.46625562
SG_000350,0.32294618
SG_000351,0.02466256
SG_000357,0.40393268
SG_000360,0.76820530
SG_000366,0.81603066
SG_000368,0.70854858
SG_000370,0.43842693
SG_000378,0.28161973
SG_000386,0.52741210
SG_000394,0.23496084
SG_000395,0.45992335
SG_000397,0.97150475
SG_000398,0.24579237
SG_000401,0.46592235
SG_000402,0.27595401
SG_000414,0.90551575
SG_000415,0.89785036
SG_000419,0.98366939
SG_000420,0.55240793
SG_000422,0.84902516
SG_000425,0.63689385
SG_000430,0.07898684
SG_000431,0.02349608
SG_000435,0.03199467
SG_000436,0.34244293
SG_000440,0.83302783
SG_000444,0.11181470
SG_000450,0.42926179
SG_000452,0.43559407
SG_000454,0.55490752
SG_000460,0.22479587
SG_000462,0.27495417
SG_000471,0.70338277
SG_000474,0.92134644
SG_000475,0.76203966
SG_000476,0.56690552
SG_000480,0.68021996
SG_000482,0.84019330
SG_000484,0.86035661
SG_000487,0.61106482
SG_000488,0.69488419
SG_000494,0.83686052
SG_000496,0.88585236
SG_000497,0.09731711
SG_000498,0.30894851
SG_000501,0.60306616
SG_000506,0.81169805
SG_000511,0.60806532
SG_000513,0.26528912
SG_000524,0.07748709
SG_000526,0.72037994
SG_000527,0.04315947
SG_000530,0.46075654
SG_000535,0.50508249
SG_000536,0.32694551
SG_000551,0.78836861
SG_000561,0.79586736
SG_000563,0.97983669
SG_000567,0.89701716
SG_000572,0.86718880
SG_000580,0.65505749
SG_000583,0.41376437
SG_000585,0.94434261
SG_000588,0.39443426
SG_000591,0.95967339
SG_000593,0.31044826
SG_000594,0.76620563
SG_000598,0.06215631
SG_000603,0.84769205
SG_000610,0.25079153
SG_000614,0.58323613
SG_000615,0.36577237
SG_000616,0.01316447
SG_000617,0.14880853
SG_000619,0.47008832
SG_000621,0.61173138
SG_000629,0.76253958
SG_000633,0.49708382
SG_000634,0.67655391
SG_000638,0.21963006
SG_000640,0.50341610
SG_000643,0.92617897
SG_000646,0.96300617
SG_000648,0.06348942
SG_000657,0.36210632
SG_000662,0.65805699
SG_000665,0.22246292
SG_000666,0.86268955
SG_000672,0.31828029
SG_000674,0.26545576
SG_000677,0.10764873
SG_000678,0.68088652
SG_000679,0.16480587
SG_000691,0.64572571
SG_000692,0.26295617
SG_000693,0.77803699
SG_000695,0.87918680
SG_000696,0.19030162
SG_000698,0.07682053
SG_000706,0.12431261
SG_000709,0.27445426
SG_000713,0.42359607
SG_000716,0.33744376
SG_000717,0.03932678
SG_000719,0.60423263
SG_000722,0.82536244
SG_000727,0.34110982
SG_000734,0.27395434
SG_000737,0.18863523
SG_000739,0.21329778
SG_000742,0.87285452
SG_000743,0.48858524
SG_000750,0.23396101
SG_000751,0.64022663
SG_000759,0.88635227
SG_000762,0.69555074
SG_000764,0.33827695
SG_000768,0.38360273
SG_000769,0.65972338
SG_000770,0.44459257
SG_000788,0.99400100
SG_000790,0.30244959
SG_000797,0.52657890
SG_000798,0.22912848
SG_000799,0.61956341
SG_000802,0.82302950
SG_000803,0.99116814
SG_000809,0.91418097
SG_000811,0.63906016
SG_000812,0.83152808
SG_000816,0.90518247
SG_000817,0.43342776
SG_000820,0.05432428
SG_000821,0.03549408
SG_000826,0.56523913
SG_000840,0.72021330
SG_000849,0.72471255
SG_000851,0.15864023
SG_000856,0.09715047
SG_000857,0.95200800
SG_000864,0.03632728
SG_000865,0.16230628
SG_000875,0.52157974
SG_000883,0.30811531
SG_000888,0.83119480
SG_000889,0.51724713
SG_000890,0.84785869
SG_000891,0.21896351
SG_000903,0.42026329
SG_000907,0.75570738
SG_000909,0.03149475
SG_000910,0.71538077
SG_000911,0.90934844
SG_000912,0.34294284
SG_000913,0.75954008
SG_000917,0.80019997
SG_000920,0.65589068
SG_000928,0.02716214
SG_000934,0.00933178
SG_000935,0.89768372
SG_000938,0.67872021
SG_000940,0.26812198
SG_000943,0.58890185
SG_000945,0.30544909
SG_000946,0.66238960
SG_000948,0.29145142
SG_000950,0.74320947
SG_000954,0.84852525
SG_000959,0.82552908
SG_000963,0.89885019
SG_000965,0.25329112
SG_000968,0.87718714
SG_000970,0.90034994
SG_000973,0.01883019
SG_000975,0.18546909
SG_000977,0.07632061
SG_000980,0.93017830
SG_000981,0.50608232
SG_000985,0.62022996
SG_000987,0.95434094
SG_000988,0.28995167
SG_000990,0.69638394
SG_000991,0.92901183
SG_001002,0.77620397
SG_001004,0.91034828
SG_001009,0.48258624
SG_001010,0.05832361
SG_001014,0.55957340
SG_001023,0.75337444
SG_001027,0.05132478
SG_001028,0.95384103
SG_001030,0.51358107
SG_001031,0.18796867
SG_001032,0.34794201
SG_001042,0.53924346
SG_001048,0.38776871
SG_001049,0.02549575
SG_001052,0.17213798
SG_001058,0.26362273
SG_001060,0.40426596
SG_001066,0.88151975
SG_001067,0.45659057
SG_001070,0.37860357
SG_001071,0.24129312
SG_001075,0.02449592
SG_001076,0.69605066
SG_001078,0.01433094
SG_001081,0.69505082
SG_001085,0.26278954
SG_001086,0.23229462
SG_001100,0.28578570
SG_001101,0.04682553
SG_001102,0.55890685
SG_001106,0.14064323
SG_001107,0.00366606
SG_001108,0.53541076
SG_001109,0.11731378
SG_001111,0.92167972
SG_001117,0.96433928
SG_001121,0.83952675
SG_001123,0.82819530
SG_001125,0.72871188
SG_001126,0.97450425
SG_001128,0.41859690
SG_001133,0.07448759
SG_001135,0.64205966
SG_001143,0.89985002
SG_001153,0.00249958
SG_001155,0.83469422
SG_001157,0.67355441
SG_001159,0.48908515
SG_001161,0.85752375
SG_001163,0.73204466
SG_001167,0.92067989
SG_001180,0.04732545
SG_001181,0.69521746
SG_001182,0.81886352
SG_001184,0.66105649
SG_001188,0.07815364
SG_001190,0.71771371
SG_001192,0.52924513
SG_001196,0.85419097
SG_001201,0.75204133
SG_001202,0.13614398
SG_001203,0.53224463
SG_001205,0.19363439
SG_001208,0.74520913
SG_001210,0.77437094
SG_001211,0.47658724
SG_001213,0.82752875
SG_001215,0.98050325
SG_001217,0.74187635
SG_001225,0.67322113
SG_001226,0.94950842
SG_001229,0.73387769
SG_001230,0.28661890
SG_001236,0.37110482
SG_001237,0.01949675
SG_001243,0.55590735
SG_001245,0.40843193
SG_001248,0.56240627
SG_001252,0.05232461
SG_001255,0.87985336
SG_001257,0.83369438
SG_001262,0.46192301
SG_001264,0.19680053
SG_001267,0.27412098
SG_001279,0.04215964
SG_001285,0.24212631
SG_001287,0.12331278
SG_001293,0.77387102
SG_001296,0.79553408
SG_001298,0.11598067
SG_001303,0.39843359
SG_001305,0.22962840
SG_001306,0.78236961
SG_001309,0.50974838
SG_001312,0.04782536
SG_001313,0.78186969
SG_001314,0.19413431
SG_001316,0.24695884
SG_001318,0.13947675
SG_001319,0.79136811
SG_001321,0.80703216
SG_001322,0.37693718
SG_001327,0.25912348
SG_001331,0.11998000
SG_001335,0.25745709
SG_001336,0.59856691
SG_001349,0.62089652
SG_001350,0.33661056
SG_001352,0.57690385
SG_001354,0.10148309
SG_001361,0.21679720
SG_001362,0.62239627
SG_001364,0.15880687
SG_001374,0.79453424
SG_001389,0.24495917
SG_001390,0.08465256
SG_001395,0.95867355
SG_001397,0.54807532
SG_001401,0.52207965
SG_001402,0.49608399
SG_001405,0.04982503
SG_001412,0.86402266
SG_001415,0.21546409
SG_001419,0.07582070
SG_001421,0.42892851
SG_001423,0.38560240
SG_001432,0.44125979
SG_001433,0.34044326
SG_001441,0.64155974
SG_001446,0.27628729
SG_001447,0.04749208
SG_001448,0.00516581
SG_001453,0.05049158
SG_001458,0.44475921
SG_001465,0.51774704
SG_001469,0.62422930
SG_001470,0.40526579
SG_001472,0.88835194
SG_001476,0.89435094
SG_001478,0.91251458
SG_001480,0.89318447
SG_001484,0.00966506
SG_001487,0.82736211
SG_001493,0.70988169
SG_001494,0.90201633
SG_001500,0.52257957
SG_001505,0.55624063
SG_001506,0.81219797
SG_001510,0.33294451
SG_001514,0.48875187
SG_001520,0.73887685
SG_001525,0.84119313
SG_001527,0.35510748
SG_001528,0.45309115
SG_001529,0.26262290
SG_001531,0.59623396
SG_001541,0.94667555
SG_001542,0.58373604
SG_001543,0.95584069
SG_001545,0.52641226
SG_001549,0.50174971
SG_001557,0.58956841
SG_001558,0.77103816
SG_001561,0.38510248
SG_001562,0.03032828
